id,title,description,depends_on,actor,goal,activity,step,pattern,effort,reach,impact,confidence,bv,tc,rr,js
US-001,Light‑Grimoire Theme‑Tokens anlegen (BG/TEXT/BORDER/ACCENTS),Light‑Grimoire Theme‑Tokens anlegen (BG/TEXT/BORDER/ACCENTS).,,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",System & Qualität sichern,Theme‑Tokens & Typografie,Theme,2,4,5,4,80,3,3,2
US-002,Font‑Setup: Serif‑Headlines + Sans‑Body inkl. Typo‑Scale,Font‑Setup: Serif‑Headlines + Sans‑Body inkl. Typo‑Scale.,US-001,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",System & Qualität sichern,Theme‑Tokens & Typografie,Theme,2,4,5,4,80,3,3,2
US-024,FRAME_MODE Token: optionaler Hybrid‑Frame (dünner Emerald‑Rand),FRAME_MODE Token: optionaler Hybrid‑Frame (dünner Emerald‑Rand).,US-001,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",System & Qualität sichern,Theme‑Tokens & Typografie,Theme,1,4,4,4,64,3,3,1
US-003,"/character Route + Grid Scaffold (Desktop 12‑col: 7/5, Mobile Stack)","/character Route + Grid Scaffold (Desktop 12‑col: 7/5, Mobile Stack).",US-001;US-002,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,Character Sheet öffnen,UI/Layout,3,4,5,4,80,4,3,3
US-004,TypeScript Types für psyche_profile_v1 + optionale Felder,TypeScript Types für psyche_profile_v1 + optionale Felder.,,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,Profil laden & ableiten,Data/Types,2,4,4,4,64,3,3,2
US-005,Profile Fetch Hook + Graceful Degradation (keine Crashes ohne optional fields),Profile Fetch Hook + Graceful Degradation (keine Crashes ohne optional fields).,US-004,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,Profil laden & ableiten,Data/Fetch,3,4,5,4,80,4,3,3
US-006,"Derived Stats im Frontend berechnen (vitality, willpower, chaos, harmony) + Unit Tests","Derived Stats im Frontend berechnen (vitality, willpower, chaos, harmony) + Unit Tests.",US-004,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,Profil laden & ableiten,Domain/Calc,2,4,5,4,80,3,3,2
US-007,Header Copy & Struktur (Titel + Untertitel) nach Spec,Header Copy & Struktur (Titel + Untertitel) nach Spec.,US-003,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,Character Sheet öffnen,UI/Copy,1,4,4,4,64,3,3,1
US-009,"StatBarRow (reusable): Prozent‑Mapping, Tooltip, Delta‑Chip","StatBarRow (reusable): Prozent‑Mapping, Tooltip, Delta‑Chip.",US-001,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,Kernwerte verstehen,UI/Component,3,4,4,4,64,3,3,3
US-008,"CoreStatsCard: 5 Kernwerte mit Tooltips, tabular‑nums und Update‑State","CoreStatsCard: 5 Kernwerte mit Tooltips, tabular‑nums und Update‑State.",US-005;US-009,Quiz‑Teilnehmer:in,"Ein brand‑konformes, helles Character‑Sheet (/character), das psyche_profile_v1 robust rendert, derived_stats_v1 berechnet und After‑Quiz‑Änderungen (Deltas) subtil und barrierearm sichtbar macht.",Character Sheet nutzen,Kernwerte verstehen,UI/Component,3,4,5,4,80,3,3,3
